r,l,rm
0.0,600,../experiments/water/reward_machines/t1.txt
1.0,535,../experiments/water/reward_machines/t2.txt
1.0,94,../experiments/water/reward_machines/t3.txt
0.0,600,../experiments/water/reward_machines/t4.txt
1.0,296,../experiments/water/reward_machines/t5.txt
1.0,484,../experiments/water/reward_machines/t6.txt
1.0,277,../experiments/water/reward_machines/t7.txt
1.0,213,../experiments/water/reward_machines/t8.txt
0.0,56,../experiments/water/reward_machines/t9.txt
0.0,60,../experiments/water/reward_machines/t10.txt
1.0,481,../experiments/water/reward_machines/t1.txt
1.0,205,../experiments/water/reward_machines/t2.txt
1.0,385,../experiments/water/reward_machines/t3.txt
0.0,600,../experiments/water/reward_machines/t4.txt
0.0,114,../experiments/water/reward_machines/t5.txt
